id,loyalty,frequency,money,L,F,M,LFM
1,3,10,430.5,,,,
2,1.231982259,10,300,,,,
3,1.03950104,10,423.5,,,,
4,0.929540807,10,245,,,,
5,0.92632619,10,326.6666667,,,,
6,0.836804522,10,512,,,,
7,0.834515564,10,781,,,,
8,0.820277254,10,715,,,,
9,0.800384184,10,272.5,,,,
10,0.780822987,10,300.5,,,,
11,0.769503055,10,366.5,,,,
12,0.682833564,10,761.1428571,,,,
13,0.666666667,10,405,,,,
14,0.642178269,10,308,,,,
15,0.603341414,10,827.1818182,,,,
16,0.534677666,10,484,,,,
17,0.524530545,10,346.3333333,,,,
18,0.45013414,10,588.2,,,,
19,0.157724353,10,214.375,,,,
20,0.147708306,10,665,,,,
21,0.120058589,10,453.3333333,,,,
22,0.107657305,10,677.3333333,,,,
23,0.098667009,10,448,,,,
24,0.097575731,10,404.5,,,,
25,0.089952325,10,576,,,,
26,0,10,672.2,,,,
27,0,10,501.6666667,,,,
28,0,10,377,,,,
29,0,10,592.8,,,,
30,0,10,352.3333333,,,,
31,0,10,245,,,,
32,0,10,245,,,,
33,0,10,245,,,,
34,0.383215175,9.977197171,486.5,,,,
35,0.290560117,9.932763608,188,,,,
36,0.180193167,9.909050337,545,,,,
37,0,9.812610288,380,,,,
38,0.666711114,9.666793571,155,,,,
39,1.090393632,9.648310328,256.5,,,,
40,0.76499388,9.515049456,404,,,,
41,0.54001512,9.510824813,290.6666667,,,,
42,0.216630273,9.508476318,831,,,,
43,0.111867459,9.454493771,252,,,,
44,0,9.395422259,324.5,,,,
45,0,9.382922022,362.25,,,,
46,0,9.363210154,304.5,,,,
47,1.24100273,9.353397411,819.5,,,,
48,0.515160436,9.324629432,962.1428571,,,,
49,0.295374436,9.298699631,299.3333333,,,,
50,0.563481867,9.190432744,895.7333333,,,,
51,0.535245946,9.17628549,418.5833333,,,,
52,0.658616905,9.127841009,200,,,,
53,0.596885344,9.094621108,992.0909091,,,,
54,0.1875,9.025626815,555,,,,
55,0,9.020479891,302.5,,,,
56,0.921913893,9.016291446,615,,,,
57,0.704920344,9.007780415,417.5,,,,
58,0,8.977106582,378.125,,,,
59,0.535011128,8.717732311,856.4,,,,
60,0.362318841,8.589574847,328.6666667,,,,
61,0.666666667,8.55429879,445,,,,
62,0.804936947,8.522562752,696.6666667,,,,
63,0,8.488069569,263.3333333,,,,
64,0.462363603,8.469480022,624.5,,,,
65,0,8.402968857,134,,,,
66,0.968429208,8.357521223,526.5,,,,
67,0.281678239,8.333267376,407.5,,,,
68,0.354012376,8.288213977,723.2,,,,
69,0.65390249,8.288131584,243.6,,,,
70,0,8.259967923,282,,,,
71,1.198609613,8.245786254,366.5,,,,
72,0.459066565,8.20393999,576.6666667,,,,
73,0.801217851,8.201300397,368,,,,
74,0,8.178400226,337,,,,
75,0.711794434,8.137190185,641.1666667,,,,
76,0,8.130092612,245,,,,
77,0.952380952,8.119467757,319,,,,
78,0,8.116721072,284.6666667,,,,
79,0.805390749,8.109451671,245,,,,
80,1.008606778,8.05875917,323.6666667,,,,
81,0.908347716,8.053099709,394.5,,,,
82,0.608663896,8.047726773,467.7857143,,,,
83,0.899604174,8.013087457,724,,,,
84,0,7.989738212,253,,,,
85,0.915248032,7.950095521,263,,,,
86,0.99009901,7.930367821,268,,,,
87,0.690261044,7.847258379,596,,,,
88,0,7.835592542,427.5,,,,
89,0.437965338,7.817471127,739.1428571,,,,
90,0.294117647,7.797200004,297.25,,,,
91,0.78125,7.792336657,421.5,,,,
92,0.34035022,7.763442174,615.25,,,,
93,0.586510264,7.738973713,314.7777778,,,,
94,0.507266594,7.730133935,502.75,,,,
95,0.227728184,7.702432312,410.6666667,,,,
96,0.141131309,7.66667236,268.5,,,,
97,0.497710532,7.644631763,418,,,,
98,1.05965879,7.638745914,410.5,,,,
99,0.595912043,7.631753308,181,,,,
100,0.929800093,7.608380639,305.5,,,,
101,0.651961317,7.593708194,249.8333333,,,,
102,0.683480282,7.56167794,282,,,,
103,0.606078972,7.555257683,677.5,,,,
104,0.6,7.521571682,306,,,,
105,0.596955527,7.507850763,1073.166667,,,,
106,0.61914393,7.492263772,450.3333333,,,,
107,0,7.479457579,314,,,,
108,0.832362244,7.460683221,402.6666667,,,,
109,0.49937578,7.448455834,567.5,,,,
110,0.863557858,7.444414248,314,,,,
111,0,7.442073386,231,,,,
112,0,7.435052107,877.3333333,,,,
113,1.013445037,7.43328796,643.6666667,,,,
114,0.783545544,7.410976913,265.5,,,,
115,0,7.393918766,665.5,,,,
116,0.533495923,7.391168555,421.5714286,,,,
117,0,7.384298818,537.625,,,,
118,0.398469876,7.384101663,217.4285714,,,,
119,1.031069563,7.381910402,743.3333333,,,,
120,0.51605978,7.371903456,915.4,,,,
121,0.62774639,7.347741054,412,,,,
122,0.416077224,7.345633241,300.5,,,,
123,0,7.344184277,334.5,,,,
124,0.44479309,7.321511131,417.2727273,,,,
125,0,7.301772175,664.2857143,,,,
126,0.862192844,7.250362143,340.6666667,,,,
127,0,7.244790542,306.4,,,,
128,0.948586606,7.229432668,455.5,,,,
129,0,7.228396219,236,,,,
130,1.002908434,7.217197073,922.2222222,,,,
131,0.987816925,7.198058284,318.6666667,,,,
132,0.831117021,7.194693327,370.5,,,,
133,0,7.186909734,325,,,,
134,0.728756741,7.156963452,267,,,,
135,0.412262331,7.152859327,732.4,,,,
136,0,7.13821031,343.3333333,,,,
137,0.647013152,7.123623445,204.1818182,,,,
138,0.401429088,7.110189745,339.5,,,,
139,0.212413442,7.101251232,593,,,,
140,0.770772314,7.093626084,400.6666667,,,,
141,0.806516655,7.091255549,390.3,,,,
142,0.107106517,7.081926456,372,,,,
143,0,7.075812483,431.6666667,,,,
144,0.394975906,7.043241205,718.1428571,,,,
145,0,7.020671619,541.8,,,,
146,0.71175936,7.017683844,378.8461538,,,,
147,0.55959709,7.007027069,648,,,,
148,0.995619275,7.003156605,256.5,,,,
149,0.386647764,6.993302579,445.3333333,,,,
150,0,6.975020799,245,,,,
151,0.8645284,6.960530905,285,,,,
152,0.191994593,6.951510652,268,,,,
153,1.012624046,6.949299889,314.6666667,,,,
154,0,6.909561802,301.3333333,,,,
155,0.411878578,6.905802936,282,,,,
156,0.548410979,6.889518399,504.8333333,,,,
157,0.309969391,6.871142031,370.375,,,,
158,0.478257231,6.866799691,523.625,,,,
159,0.433125433,6.854745679,324.6666667,,,,
160,0,6.850129695,332.6666667,,,,
161,0.681446484,6.829835979,229.6666667,,,,
162,0.804394291,6.825739344,521.7142857,,,,
163,0.393987747,6.8245996,673.375,,,,
164,0.912283903,6.814231404,483.5,,,,
165,0.814844132,6.810378043,317.7142857,,,,
166,0.98697197,6.807076228,293.5,,,,
167,1.022285831,6.806933431,418,,,,
168,0.682081713,6.791210844,471.5,,,,
169,0,6.765778387,1177.833333,,,,
170,0.874355163,6.757373759,314,,,,
171,0.676544212,6.743756683,282,,,,
172,0.567472478,6.740896523,683.1111111,,,,
173,0,6.737424166,245,,,,
174,0,6.702039049,591.8,,,,
175,1.227445686,6.69568,424,,,,
176,0.728173014,6.695665009,262,,,,
177,0.558085543,6.68591772,421.4,,,,
178,0.918189331,6.660037701,145.5,,,,
179,0.828843763,6.656633191,346.5,,,,
180,0.422306214,6.654252651,891.75,,,,
181,0.75,6.643807628,609.6666667,,,,
182,0.563189908,6.642813793,810.2857143,,,,
183,0,6.634197649,482.9166667,,,,
184,0,6.632576528,355.5,,,,
185,0.77309625,6.631243684,355,,,,
186,0.691100924,6.609681308,717,,,,
187,0.655866728,6.602514712,309,,,,
188,0.559339731,6.559545007,641.5555556,,,,
189,0,6.553599899,245,,,,
190,0.633780501,6.531445682,250.3333333,,,,
191,0.714005212,6.500729856,202.5,,,,
192,0.78125,6.496005513,370.1333333,,,,
193,1.010917913,6.493896362,670,,,,
194,0.892538379,6.49206672,329.5,,,,
195,0,6.47887289,221.3333333,,,,
196,0.724442697,6.475713269,794,,,,
197,0.304164005,6.475455416,875.5,,,,
198,0.909090909,6.474499179,485.3333333,,,,
199,0.496061273,6.468839403,389,,,,
200,0.75511591,6.447194139,345,,,,
201,0.596068333,6.446367115,210.6,,,,
202,0.890366237,6.441267165,305.3333333,,,,
203,0.837380673,6.41697952,454.75,,,,
204,0.433007547,6.41478175,710,,,,
205,0.218034574,6.4060057,362.5714286,,,,
206,0.797418817,6.400744019,523.8461538,,,,
207,0.248163589,6.399218486,197.6,,,,
208,0.838234678,6.394344271,648,,,,
209,0.39002777,6.387805362,382.8,,,,
210,1.052299274,6.377565412,455.5,,,,
211,0.789920613,6.366937352,305,,,,
212,0.987703096,6.363392967,327.25,,,,
213,0.719838756,6.359689398,354,,,,
214,0.42697819,6.335502385,664.4,,,,
215,0.263829039,6.329609593,245,,,,
216,0.750318886,6.32229671,340.8333333,,,,
217,0,6.316285614,449,,,,
218,0.550068453,6.312749764,409.2222222,,,,
219,0.480192077,6.303965429,727,,,,
220,0,6.303484306,245,,,,
221,0.800656538,6.300020709,360.875,,,,
222,1.032311345,6.296591191,141,,,,
223,0.573801847,6.293769879,844.2857143,,,,
224,0.588466065,6.254530657,341.6666667,,,,
225,0.534287928,6.253110246,819.75,,,,
226,0,6.246011177,333,,,,
227,0.673400673,6.23815326,493,,,,
228,0.272392148,6.233761593,400.3333333,,,,
229,0,6.208556594,556.5,,,,
230,0.717913743,6.200351493,609,,,,
231,0.623117665,6.191134911,442.5,,,,
232,0.814464897,6.181363004,376.4,,,,
233,0,6.177914405,502.375,,,,
234,0,6.173565013,365.6666667,,,,
235,0.805239425,6.161565766,322.3333333,,,,
236,0.359962564,6.159618615,607.3333333,,,,
237,1.069861988,6.156574294,341.5,,,,
238,0.725389757,6.143119849,445.6923077,,,,
239,0.5560086,6.138227626,432.3333333,,,,
240,0.564026396,6.132526408,353.8333333,,,,
241,0,6.13028938,528.5,,,,
242,0.654535934,6.126825906,202.5,,,,
243,0.475119572,6.125914104,267.6666667,,,,
244,0.57500345,6.12509884,642.8,,,,
245,0.244574522,6.122871442,301,,,,
246,1.17260788,6.119714432,696.3333333,,,,
247,0.712538299,6.107031525,458.8333333,,,,
248,0.570721392,6.090156367,1084.578947,,,,
249,0,6.075986382,322,,,,
250,0.403991435,6.060588322,282,,,,
251,0.557489563,6.057742459,908.7777778,,,,
252,0.671110912,6.052869538,890,,,,
253,0,6.0506007,322.6666667,,,,
254,1.333214825,6.04658994,439.6666667,,,,
255,0,6.041901296,326.7777778,,,,
256,0.564716512,6.023146641,250.5,,,,
257,0.536388603,6.004753262,316,,,,
258,0.752407705,6.004471695,523.1666667,,,,
259,0.66969144,6.000413718,506.375,,,,
260,0.707676521,5.999958683,338.375,,,,
261,0.277997859,5.998364459,507,,,,
262,0.351271603,5.997015533,1162.333333,,,,
263,0.805120567,5.985968342,254,,,,
264,0.601600257,5.985914573,595.3333333,,,,
265,0.572759556,5.984813699,479.6666667,,,,
266,0,5.983341602,378.5,,,,
267,0.833333333,5.950266466,748,,,,
268,0.751071722,5.947172747,339.3846154,,,,
269,0.572967398,5.920898295,282,,,,
270,0.385277271,5.911263295,427.3333333,,,,
271,0.399696231,5.905661066,282,,,,
272,0.736497545,5.904297548,255.3333333,,,,
273,0,5.90114344,342.4285714,,,,
274,0.644919965,5.897162946,569.1,,,,
275,0,5.889688646,508,,,,
276,0,5.875781806,112.1666667,,,,
277,0,5.874790791,837.5,,,,
278,0.267588599,5.87456576,364.8,,,,
