id,loyalty,frequency,money,L,F,M,LFM
,3,10,430.5,,,,
,1.231982259,10,300,,,,
,1.03950104,10,423.5,,,,
,0.929540807,10,245,,,,
,0.92632619,10,326.6666667,,,,
,0.836804522,10,512,,,,
,0.834515564,10,781,,,,
,0.820277254,10,715,,,,
,0.800384184,10,272.5,,,,
,0.780822987,10,300.5,,,,
,0.769503055,10,366.5,,,,
,0.682833564,10,761.1428571,,,,
,0.666666667,10,405,,,,
,0.642178269,10,308,,,,
,0.603341414,10,827.1818182,,,,
,0.534677666,10,484,,,,
,0.524530545,10,346.3333333,,,,
,0.45013414,10,588.2,,,,
,0.157724353,10,214.375,,,,
,0.147708306,10,665,,,,
,0.120058589,10,453.3333333,,,,
,0.107657305,10,677.3333333,,,,
,0.098667009,10,448,,,,
,0.097575731,10,404.5,,,,
,0.089952325,10,576,,,,
,0,10,672.2,,,,
,0,10,501.6666667,,,,
,0,10,377,,,,
,0,10,592.8,,,,
,0,10,352.3333333,,,,
,0,10,245,,,,
,0,10,245,,,,
,0,10,245,,,,
,0.383215175,9.977197171,486.5,,,,
,0.290560117,9.932763608,188,,,,
,0.180193167,9.909050337,545,,,,
,0,9.812610288,380,,,,
,0.666711114,9.666793571,155,,,,
,1.090393632,9.648310328,256.5,,,,
,0.76499388,9.515049456,404,,,,
,0.54001512,9.510824813,290.6666667,,,,
,0.216630273,9.508476318,831,,,,
,0.111867459,9.454493771,252,,,,
,0,9.395422259,324.5,,,,
,0,9.382922022,362.25,,,,
,0,9.363210154,304.5,,,,
,1.24100273,9.353397411,819.5,,,,
,0.515160436,9.324629432,962.1428571,,,,
,0.295374436,9.298699631,299.3333333,,,,
,0.563481867,9.190432744,895.7333333,,,,
,0.535245946,9.17628549,418.5833333,,,,
,0.658616905,9.127841009,200,,,,
,0.596885344,9.094621108,992.0909091,,,,
,0.1875,9.025626815,555,,,,
,0,9.020479891,302.5,,,,
,0.921913893,9.016291446,615,,,,
,0.704920344,9.007780415,417.5,,,,
,0,8.977106582,378.125,,,,
,0.535011128,8.717732311,856.4,,,,
,0.362318841,8.589574847,328.6666667,,,,
,0.666666667,8.55429879,445,,,,
,0.804936947,8.522562752,696.6666667,,,,
,0,8.488069569,263.3333333,,,,
,0.462363603,8.469480022,624.5,,,,
,0,8.402968857,134,,,,
,0.968429208,8.357521223,526.5,,,,
,0.281678239,8.333267376,407.5,,,,
,0.354012376,8.288213977,723.2,,,,
,0.65390249,8.288131584,243.6,,,,
